,ingredient,cluster
0,acorn squash,0
1,active dry yeast,0
2,agave nectar,1
3,allspice,0
4,almond butter,1
5,almond extract,1
6,almond flour,1
7,almond milk,0
8,almond paste,1
9,almonds,1
10,amaretto liqueur,1
11,ameri cheese,0
12,anchovy,0
13,anchovy paste,0
14,angel hair pasta,0
15,angostura bitters,0
16,apple,1
17,apple cider vinegar,0
18,apple juice,1
19,apple sauce,1
20,apricot,1
21,apricot jam,1
22,arborio rice,0
23,artichoke,0
24,artichoke heart,0
25,arugula,0
26,asiago cheese,0
27,asparagus,0
28,avocado,0
29,baby carrot,0
30,bacon,0
31,baguette,0
32,baking powder,1
33,baking soda,1
34,balsamic vinegar,0
35,banana,1
36,barbeque sauce,0
37,barley,0
38,basil,0
39,bay leaf,0
40,bean sprouts,0
41,beans,0
42,beef,0
43,beef broth,0
44,beer,0
45,beets,0
46,bell pepper,0
47,berries,1
48,black beans,0
49,black eyed peas,0
50,blackberries,1
51,blue cheese,0
52,blueberries,1
53,bok choy,0
54,bourbon,1
55,brandy,1
56,bread,0
57,bread crumbs,0
58,bread flour,0
59,broccoli,0
60,broccoli rabe,0
61,brown rice,0
62,brown sugar,1
63,brussel sprout,0
64,bulgur,0
65,butter,0
66,buttermilk,0
67,butternut squash,0
68,butterscotch chips,1
69,cabbage,0
70,cajun seasoning,0
71,cake,1
72,cake flour,1
73,cannellini beans,0
74,cantaloupe,1
75,capers,0
76,caraway seeds,0
77,cardamom,0
78,cardamom pods,0
79,carrot,0
80,cashew,0
81,cauliflower,0
82,cayenne pepper,0
83,celery,0
84,celery leaves,0
85,celery salt,0
86,celery seeds,0
87,champagne,1
88,cheddar,0
89,cheese,0
90,cheese blend,0
91,cherries,1
92,cherry pie filling,1
93,chestnuts,1
94,chia seeds,1
95,chicken,0
96,chicken broth,0
97,chickpeas,0
98,chili powder,0
99,chives,0
100,chocolate,1
101,chocolate cake mix,1
102,chocolate chips,1
103,chocolate syrup,1
104,chopped nuts,1
105,chorizo,0
106,cilantro,0
107,cilantro seeds,0
108,cinnamon,1
109,clam juice,0
110,clams,0
111,clove,0
112,club soda,0
113,cocoa powder,1
114,coconut,1
115,coconut extract,1
116,coconut milk,1
117,coconut oil,0
118,cod,0
119,coffee,1
120,coffee liqueur,1
121,cognac,1
122,condensed milk,1
123,confectioner's sugar,1
124,corn,0
125,corn kernels,0
126,corn oil,0
127,corn syrup,1
128,corn tortillas,0
129,cornflakes,1
130,cornmeal,0
131,cornstarch,0
132,cottage cheese,0
133,couscous,0
134,crabmeat,0
135,crackers,0
136,cranberries,1
137,cranberry juice,1
138,cranberry sauce,1
139,cream,0
140,cream cheese,0
141,cream of chicken soup,0
142,cream of mushroom soup,0
143,cream of tartar,0
144,creole seasoning,0
145,croutons,0
146,cr�me fraiche,0
147,cucumber,0
148,cumin,0
149,currants,1
150,curry leaves,0
151,curry powder,0
152,dates,1
153,dill,0
154,double cream,0
155,dressing,0
156,dried chile,0
157,egg,0
158,egg noodles,0
159,egg substitute powder,0
160,egg white,1
161,eggnog,1
162,eggplant,0
163,escarole,0
164,evaporated milk,1
165,fennel,0
166,fennel seeds,0
167,feta,0
168,fettucine,0
169,fig,1
170,fish,0
171,fish sauce,0
172,fish stock,0
173,five spice,0
174,five spice powder,0
175,flank steak,0
176,flax seeds,0
177,flour,0
178,flour tortillas,0
179,fontina cheese,0
180,fresh chile,0
181,frosting,1
182,fruit,1
183,garam masala,0
184,garlic,0
185,garlic powder,0
186,gelatin,0
187,ghee,0
188,gin,1
189,ginger,0
